LAMMPS data file — SPC/E water box

648 atoms
432 bonds
216 angles
0 dihedrals
0 impropers

2 atom types
1 bond types
1 angle types

0.0 18.644498 xlo xhi
0.0 18.644498 ylo yhi
0.0 18.644498 zlo zhi

Masses

1 15.9994  # O
2  1.0080  # H

Atoms  # full

380 127 2 0.4238 11.694831 10.829954 2.099664
381 127 2 0.4238 10.061850 10.829954 2.099664
382 128 1 -0.8476 10.912621 10.852272 4.624265
383 128 2 0.4238 11.729112 10.852272 5.201624
384 128 2 0.4238 10.096131 10.852272 5.201624
385 129 1 -0.8476 10.883011 10.852783 7.779071
386 129 2 0.4238 11.699501 10.852783 8.356429
387 129 2 0.4238 10.066520 10.852783 8.356429
388 130 1 -0.8476 10.840120 10.857112 10.881437
389 130 2 0.4238 11.656611 10.857112 11.458796
390 130 2 0.4238 10.023630 10.857112 11.458796
391 131 1 -0.8476 10.890973 10.920768 13.972177
392 131 2 0.4238 11.707463 10.920768 14.549536
393 131 2 0.4238 10.074482 10.920768 14.549536
394 132 1 -0.8476 10.904048 10.864072 17.123654
395 132 2 0.4238 11.720538 10.864072 17.701013
396 132 2 0.4238 10.087557 10.864072 17.701013
397 133 1 -0.8476 10.867908 13.946340 1.514664
398 133 2 0.4238 11.684399 13.946340 2.092023
399 133 2 0.4238 10.051418 13.946340 2.092023
400 134 1 -0.8476 10.907098 13.978150 4.673899
401 134 2 0.4238 11.723588 13.978150 5.251258
402 134 2 0.4238 10.090607 13.978150 5.251258
403 135 1 -0.8476 10.892090 13.966143 7.738081
404 135 2 0.4238 11.708581 13.966143 8.315440
405 135 2 0.4238 10.075600 13.966143 8.315440
406 136 1 -0.8476 10.841279 13.948191 10.847304
407 136 2 0.4238 11.657769 13.948191 11.424663
408 136 2 0.4238 10.024789 13.948191 11.424663
409 137 1 -0.8476 10.920342 13.942228 14.002911
410 137 2 0.4238 11.736833 13.942228 14.580270
411 137 2 0.4238 10.103852 13.942228 14.580270
412 138 1 -0.8476 10.900892 14.003897 17.073193
413 138 2 0.4238 11.717382 14.003897 17.650552
414 138 2 0.4238 10.084401 14.003897 17.650552
415 139 1 -0.8476 10.875054 17.116115 1.597131
416 139 2 0.4238 11.691544 17.116115 2.174489
417 139 2 0.4238 10.058563 17.116115 2.174489
418 140 1 -0.8476 10.900748 17.051663 4.611223
419 140 2 0.4238 11.717238 17.051663 5.188582
420 140 2 0.4238 10.084257 17.051663 5.188582
421 141 1 -0.8476 10.917696 17.093030 7.722844
422 141 2 0.4238 11.734186 17.093030 8.300203
423 141 2 0.4238 10.101205 17.093030 8.300203
424 142 1 -0.8476 10.916164 17.096571 10.891556
425 142 2 0.4238 11.732654 17.096571 11.468915
426 142 2 0.4238 10.099673 17.096571 11.468915
427 143 1 -0.8476 10.899733 17.074786 13.980183
428 143 2 0.4238 11.716223 17.074786 14.557542
429 143 2 0.4238 10.083242 17.074786 14.557542
430 144 1 -0.8476 10.835292 17.129884 17.088464
431 144 2 0.4238 11.651782 17.129884 17.665823
432 144 2 0.4238 10.018801 17.129884 17.665823
433 145 1 -0.8476 13.961678 1.503911 1.556766
434 145 2 0.4238 14.778168 1.503911 2.134125
435 145 2 0.4238 13.145188 1.503911 2.134125
436 146 1 -0.8476 13.983185 1.565599 4.641107
437 146 2 0.4238 14.799675 1.565599 5.218466
438 146 2 0.4238 13.166694 1.565599 5.218466
439 147 1 -0.8476 13.970043 1.567006 7.721624
440 147 2 0.4238 14.786534 1.567006 8.298983
441 147 2 0.4238 13.153553 1.567006 8.298983
442 148 1 -0.8476 13.990914 1.517739 10.841785
443 148 2 0.4238 14.807405 1.517739 11.419144
444 148 2 0.4238 13.174424 1.517739 11.419144
445 149 1 -0.8476 14.021505 1.601679 14.019832
446 149 2 0.4238 14.837995 1.601679 14.597191
447 149 2 0.4238 13.205014 1.601679 14.597191
448 150 1 -0.8476 14.024232 1.529505 17.128556
449 150 2 0.4238 14.840723 1.529505 17.705915
450 150 2 0.4238 13.207742 1.529505 17.705915
451 151 1 -0.8476 14.010353 4.628807 1.534779
452 151 2 0.4238 14.826844 4.628807 2.112138
453 151 2 0.4238 13.193863 4.628807 2.112138
454 152 1 -0.8476 14.028247 4.685489 4.614957
455 152 2 0.4238 14.844737 4.685489 5.192316
456 152 2 0.4238 13.211756 4.685489 5.192316
457 153 1 -0.8476 13.948144 4.664043 7.767908
458 153 2 0.4238 14.764634 4.664043 8.345267
459 153 2 0.4238 13.131653 4.664043 8.345267
460 154 1 -0.8476 13.984146 4.674180 10.894514
461 154 2 0.4238 14.800637 4.674180 11.471873
462 154 2 0.4238 13.167656 4.674180 11.471873
463 155 1 -0.8476 13.998606 4.703237 13.950688
464 155 2 0.4238 14.815097 4.703237 14.528047
465 155 2 0.4238 13.182116 4.703237 14.528047
466 156 1 -0.8476 13.964736 4.667025 17.067034
467 156 2 0.4238 14.781226 4.667025 17.644393
468 156 2 0.4238 13.148245 4.667025 17.644393
469 157 1 -0.8476 14.013114 7.777063 1.529711
470 157 2 0.4238 14.829604 7.777063 2.107070
471 157 2 0.4238 13.196624 7.777063 2.107070
472 158 1 -0.8476 13.943001 7.734042 4.669092
473 158 2 0.4238 14.759491 7.734042 5.246451
474 158 2 0.4238 13.126510 7.734042 5.246451
475 159 1 -0.8476 14.012258 7.738180 7.734064
476 159 2 0.4238 14.828749 7.738180 8.311423
477 159 2 0.4238 13.195768 7.738180 8.311423
478 160 1 -0.8476 14.016713 7.750884 10.863941
479 160 2 0.4238 14.833203 7.750884 11.441300
480 160 2 0.4238 13.200223 7.750884 11.441300
481 161 1 -0.8476 14.027441 7.753662 13.971818
482 161 2 0.4238 14.843932 7.753662 14.549177
483 161 2 0.4238 13.210951 7.753662 14.549177
484 162 1 -0.8476 13.965474 7.794116 17.128592
485 162 2 0.4238 14.781964 7.794116 17.705951
486 162 2 0.4238 13.148983 7.794116 17.705951
487 163 1 -0.8476 14.002270 10.873366 1.548534
488 163 2 0.4238 14.818761 10.873366 2.125893
489 163 2 0.4238 13.185780 10.873366 2.125893
490 164 1 -0.8476 13.969072 10.856628 4.638950
491 164 2 0.4238 14.785562 10.856628 5.216309
492 164 2 0.4238 13.152582 10.856628 5.216309
493 165 1 -0.8476 14.015996 10.887547 7.809533
494 165 2 0.4238 14.832486 10.887547 8.386891
495 165 2 0.4238 13.199506 10.887547 8.386891
496 166 1 -0.8476 13.963148 10.908685 10.902496
497 166 2 0.4238 14.779638 10.908685 11.479855
498 166 2 0.4238 13.146657 10.908685 11.479855
499 167 1 -0.8476 14.023212 10.842469 13.968160
500 167 2 0.4238 14.839702 10.842469 14.545519
501 167 2 0.4238 13.206721 10.842469 14.545519
502 168 1 -0.8476 13.993154 10.878042 17.065473
503 168 2 0.4238 14.809644 10.878042 17.642832
504 168 2 0.4238 13.176663 10.878042 17.642832
505 169 1 -0.8476 14.000333 14.024131 1.570501
506 169 2 0.4238 14.816823 14.024131 2.147860
507 169 2 0.4238 13.183842 14.024131 2.147860
508 170 1 -0.8476 13.938638 13.956060 4.638178
509 170 2 0.4238 14.755129 13.956060 5.215537
510 170 2 0.4238 13.122148 13.956060 5.215537
511 171 1 -0.8476 13.999148 14.021821 7.777432
512 171 2 0.4238 14.815639 14.021821 8.354791
513 171 2 0.4238 13.182658 14.021821 8.354791
514 172 1 -0.8476 13.948314 13.945835 10.857928
